file,time,var1,var2,var3,var4,var5,var6,var7,var8,var9,type
3,192,1,30400,31984,41053,25307,32416,435,44509,16096,type2
3,192,2,7504,4416,43093,24675,32416,3096,43227,16528,type2
3,192,3,20832,17248,26611,0,32400,1195,27299,4608,type3
3,192,8,18784,22416,32885,14771,32384,10816,20232,4528,type4
3,192,9,7456,3584,41477,27629,32416,1864,25939,0,type3
3,192,10,8384,8208,44053,26536,32432,2525,41309,14192,type2
3,192,11,12176,19056,29677,11443,32384,1355,33392,8752,type3
3,192,15,20992,30064,35923,19419,32416,23597,27939,7232,type4
3,192,17,25952,24592,33941,14349,32416,1597,30533,7824,type3
3,192,18,23024,18832,35968,20795,32400,12301,17981,0,type4
3,192,20,14192,23968,35600,15779,32384,3627,38059,8864,type5
3,192,22,5536,4560,36528,17845,32416,3144,44000,13264,type5
3,192,34,17472,27328,35203,17277,32400,2896,34760,7488,type5
3,192,36,5872,1840,29843,14096,32416,1139,36040,10224,type5
3,192,37,24352,19696,28248,6763,32400,2576,38459,13824,type5
3,192,39,6512,944,39360,23648,32400,995,40979,9248,type5
3,192,40,10544,3968,42357,23763,32416,4547,45443,18464,type2
3,192,41,26992,34656,37421,20307,32432,1624,39152,15408,type5
3,192,44,25728,34656,35115,19547,32416,2147,23472,6544,type3
3,192,48,26432,22352,33573,14795,32400,0,32400,1600,type3
3,192,50,4768,7024,41379,23261,32400,1763,43392,17824,type2
3,192,55,7936,4240,38037,21213,32416,12736,20824,6592,type4
3,192,67,13488,14480,26627,9696,32400,2416,24763,4704,type3
3,192,68,28416,22512,35680,17168,32400,1960,34107,4256,type3
3,192,71,28928,26544,36467,15893,32400,2456,28723,5792,type3
3,192,73,28400,24224,43320,25592,32384,2395,40027,11248,type5
3,192,75,30144,21344,32573,12248,32400,3627,33432,12640,type5
3,192,76,23632,21920,43365,24488,32416,1896,36325,6864,type5
3,192,78,16288,21312,53360,37387,32400,5091,42035,17872,type2
3,193,82,25520,16432,27083,6944,32400,1243,28472,9472,type3
