file,time,var1,var2,var3,var4,var5,var6,var7,var8,var9,type
2,102,0,18016,25856,43664,28307,32400,3301,31973,9392,type5
2,102,4,20640,22688,36403,18029,32400,1648,36749,8704,type5
2,102,7,10928,19488,50627,33539,32432,9397,48776,23216,type2
2,102,8,7072,1248,34355,21904,32400,2589,40040,10944,type5
2,102,12,25456,17584,34477,16459,32400,0,33880,7936,type5
2,102,15,21648,28464,33197,15229,32416,1453,29715,5920,type3
2,102,16,26864,17648,24088,5373,32400,5536,8592,0,type4
2,102,17,24288,24352,37416,17904,32400,2269,32427,1344,type3
2,102,18,25120,21392,33131,15747,32400,989,35195,14640,type5
2,102,19,29648,20256,35403,15819,32416,1768,35240,10240,type5
2,102,21,19328,28672,26768,4123,32400,3101,26651,0,type3
2,102,23,18384,21744,35205,16707,32400,2133,32296,13024,type5
2,102,28,14496,9952,37624,19216,32400,1987,39443,12064,type5
2,102,33,28688,22624,33123,14235,32400,2075,23283,4848,type3
2,102,40,29232,23504,35117,19667,32400,2581,31680,3296,type3
2,102,50,4608,416,41373,25499,32400,16117,26235,4640,type4
2,102,54,30816,24384,35997,18613,32400,2533,38312,15936,type5
2,102,56,24928,24864,36021,18621,32416,1411,22541,2688,type3
2,102,58,24416,19088,36821,18261,32400,931,35600,15968,type5
2,102,61,32720,24256,32693,14979,32400,1528,26416,12000,type3
2,102,69,6032,6944,19528,3248,32400,304,23547,2656,type3
2,102,82,30384,27072,36472,20888,32400,2085,26592,4272,type3
2,102,83,6832,3488,37461,20995,32416,24616,24984,5168,type4
2,102,84,27024,24176,48027,30525,32400,896,45648,15536,type2
2,102,88,25632,29824,34883,18200,32400,1459,23600,7344,type3
2,102,90,15056,7904,24811,12757,32400,2133,32176,10752,type3
2,102,91,33200,25664,34920,15040,32400,2739,24069,0,type3
2,102,92,28768,18784,26653,7832,32400,3496,29003,0,type3
2,102,96,28368,33136,42477,28925,32400,1512,32336,7408,type5
2,102,99,11376,2624,26709,21936,32400,2136,13179,0,type3
2,102,100,24096,23168,35859,19888,32400,1768,31515,10416,type5
2,102,101,4512,8848,36365,14744,32416,2005,30064,8416,type3
2,102,102,14160,7840,33211,20227,32400,14685,21451,0,type4
2,102,103,27920,35680,39440,9579,32384,2077,36659,20256,type2
2,102,104,3408,240,26592,10483,32400,2275,12083,0,type3
2,102,106,16944,25920,33824,18848,32416,1973,36099,8992,type5
2,102,109,34928,29936,50312,34429,32400,3715,24536,0,type3
2,102,110,21792,21024,31096,14152,32400,8067,16987,2944,type4
2,102,114,26944,19840,33120,15504,32400,2544,25339,544,type3
2,102,115,24576,32320,32691,15125,32416,3099,28144,0,type3
2,102,119,9760,9456,47443,30915,32416,3155,43973,14160,type2
2,102,131,25344,30960,39021,21907,32416,899,29723,8928,type3
2,102,132,4544,752,24032,3867,32416,17053,7603,0,type4
2,102,133,26432,35904,39640,21227,32400,3920,36229,7920,type5
2,102,134,29264,24352,36664,18744,32416,1160,30749,6832,type3
2,102,137,20032,29904,28163,13027,32400,5168,16781,6528,type4
2,102,141,8560,17200,39963,25552,32432,1912,39315,15040,type5
2,103,145,29184,28016,43981,25419,32400,1024,35296,12032,type5
2,103,146,20176,10176,19531,6699,32400,1472,16387,0,type3
2,103,152,29440,22912,33203,10859,32400,2227,26549,3840,type3
2,103,154,11792,10096,17861,211,32400,1448,26973,3824,type3
