file,time,var1,var2,var3,var4,var5,var6,var7,var8,var9,type
6,462,2,6304,8944,38440,22069,32400,24616,21299,0,type4
6,462,5,27616,34144,40149,21211,32416,1933,27083,6912,type5
6,462,6,22912,32816,38563,21581,32400,4280,39541,14704,type2
6,462,8,28192,22544,28360,6184,32400,211,26024,4448,type5
6,462,10,14128,16720,42317,24144,32400,2288,38296,10928,type2
6,462,11,26240,27184,34896,18056,32400,8824,12517,0,type4
6,462,14,30784,30032,38883,20616,32400,1949,27627,5136,type5
6,462,16,4912,11216,13667,795,32400,1619,14973,2688,type3
6,462,21,4448,1344,35525,18533,32400,18683,21805,6016,type4
6,462,33,5312,5136,39757,23315,32400,2885,44357,15200,type2
6,463,37,21824,31184,46395,28355,32400,2528,39712,14640,type2
6,463,40,18624,29568,30464,12720,32400,1824,24552,9344,type5
6,463,43,5456,8080,36451,19784,32400,30053,32221,7104,type4
6,463,45,5296,816,38187,20760,32416,21680,28792,2624,type4
6,463,57,5408,11168,40051,22485,32416,16592,18291,9888,type4
6,463,59,23136,30704,37349,19232,32416,1440,26840,1616,type5
6,463,61,7760,5040,20901,10811,32416,1555,23555,10912,type3
6,463,64,8384,7872,44659,26299,32400,1680,42688,15408,type2
6,463,69,16320,10784,29667,15021,32400,1221,37955,16224,type5
6,463,70,12448,17712,36461,19059,32400,2344,36141,14896,type2
6,463,74,13488,19904,37061,18168,32400,907,36552,16512,type2
6,463,87,4080,3440,35715,18307,32416,3301,42715,16640,type2
6,463,88,19808,19584,33453,14784,32400,1576,29899,7808,type5
6,463,91,6704,7184,37365,20629,32400,18005,26256,5056,type4
6,463,92,26544,19328,51664,35056,32432,2493,45576,19184,type2
6,463,93,22928,33568,33213,14603,32400,3293,22728,5088,type5
6,463,96,19088,12848,37163,18805,32416,339,36843,6880,type5
6,463,102,26672,27728,41448,22267,32400,1621,32117,15792,type2
6,463,107,8992,6128,40189,21005,32400,435,43811,15584,type2
6,463,109,23472,20432,30840,15275,32384,11096,13160,0,type4
6,463,112,32080,27360,36805,20741,32400,1211,29075,6208,type5
6,463,116,25088,18304,27792,7344,32400,1731,27979,11456,type5
6,463,118,29280,29696,38437,22776,32400,4688,27867,4752,type5
6,463,121,7184,2960,35269,19621,32400,1277,33752,11536,type5
6,463,123,19776,28464,28077,13072,32416,6088,15533,0,type4
6,463,124,4336,1040,29632,11843,32416,44213,57085,29152,type1
