file,time,var1,var2,var3,var4,var5,var6,var7,var8,var9,type
5,372,0,28736,24320,33216,14739,32400,4787,17915,3504,type3
5,372,1,16608,23440,36197,17091,32416,2411,37680,11344,type5
5,372,4,8608,17280,37973,22147,32432,21797,20968,8416,type4
5,372,7,5584,2576,38061,22000,32416,14176,21491,3168,type4
5,372,10,28944,27136,45240,25560,32416,1704,34811,11216,type5
5,372,13,7408,13440,39077,21179,32416,864,34965,11408,type5
5,372,16,3952,832,26307,13203,32400,6485,17624,608,type4
5,372,18,7488,7152,42981,25792,32432,3021,40941,12624,type2
5,372,19,4464,272,34261,18816,32400,26328,31029,11408,type4
5,372,20,6048,11664,37504,19741,32432,749,37787,13680,type5
5,372,21,3824,8400,36208,20133,32416,18389,24941,0,type4
5,372,25,5456,3520,42107,26736,32400,155,45120,18624,type2
5,372,26,6464,12336,28517,7856,32400,2200,37275,10352,type5
5,372,28,21904,26352,32757,17165,32400,6072,11123,0,type4
5,372,30,9824,9296,37837,21859,32416,18875,23795,5424,type4
5,372,38,17664,9008,35128,18480,32400,10517,15939,0,type4
5,372,43,30960,28544,47736,32291,32432,4472,29651,7024,type5
5,372,44,8592,1008,25963,11237,32400,1496,24635,8656,type3
5,372,46,12048,11632,47784,30379,32400,5661,51949,22576,type2
5,372,48,20320,19712,31632,10600,32400,1216,33552,9008,type5
5,372,50,26272,19216,30411,11171,32400,2112,27997,6544,type3
5,372,55,5888,5472,40675,24731,32400,3507,37717,10768,type5
5,372,56,4304,5232,12904,0,32400,1317,12496,3168,type3
5,372,57,20160,18656,35176,18696,32416,11229,19664,0,type4
5,372,58,4624,2064,40280,23880,32416,27245,34483,10384,type4
5,373,66,25216,35248,39117,23165,32416,2347,37085,10384,type5
5,373,76,15792,15920,38003,21576,32400,1595,33037,12416,type5
5,373,79,5616,8320,41200,25965,32416,3227,47157,20704,type2
5,373,85,27840,19200,35131,14901,32400,1931,31301,6048,type3
5,373,86,7056,12064,39995,23523,32400,1571,38117,13232,type5
5,373,87,16928,12288,21205,2603,32400,4000,12707,0,type3
5,373,89,26544,35616,37891,19632,32400,1915,31376,9600,type5
5,373,102,6144,8384,35949,17451,32400,1680,37309,9280,type5
5,373,103,16272,22960,28861,15461,32416,3499,16744,0,type3
5,373,105,14336,23424,37912,18805,32400,1453,43259,14064,type2
5,373,107,27792,23168,46325,29285,32416,2912,38888,13824,type2
5,373,109,7488,5504,41205,24976,32400,2472,44757,17920,type2
5,373,112,40832,44064,64795,62173,32448,58267,64741,45728,type1
5,373,114,34496,26224,34899,16784,32416,1587,28683,3584,type3
5,373,120,3680,11264,31365,14019,32400,1165,33837,10336,type5
5,373,122,19600,30000,29077,8011,32400,2152,24619,0,type3
5,373,125,9856,17440,45200,28323,32400,2077,42947,17328,type2
5,373,130,32992,25136,41563,22549,32416,1976,37192,18512,type2
5,373,133,3312,11744,24891,7083,32416,1499,14264,0,type3
5,373,135,18992,29104,30448,12963,32384,1331,31885,5744,type3
5,373,138,27104,18192,25016,4309,32384,1384,20957,6848,type3
5,373,150,7584,10272,41376,24072,32400,1501,45397,16160,type2
5,373,154,17824,26240,35880,21261,32416,11483,16333,4480,type4
5,373,157,21856,25424,38867,21752,32400,2416,34293,11056,type5
5,373,161,35792,28336,36699,15525,32416,2424,21773,9904,type3
5,373,163,27056,24416,37307,18824,32400,1293,27192,5888,type3
5,373,165,18832,23648,34821,20693,32416,12365,25147,0,type4
5,373,169,2704,1216,22565,5571,32400,3709,12411,9232,type3
5,373,171,27312,20608,30861,11485,32400,4725,32080,288,type3
5,373,178,19792,28800,29987,12243,32400,8880,11960,0,type4
5,373,179,30672,23136,30699,15205,32384,547,25573,13840,type3
