file,time,var1,var2,var3,var4,var5,var6,var7,var8,var9,type
7,553,3,5648,15664,38419,20605,32400,3283,40547,20608,type2
7,553,6,28064,24848,36096,19035,32400,2189,29496,10176,type3
7,553,7,21792,25488,34581,16509,32400,1667,37363,14928,type5
7,553,9,24832,18224,31728,12075,32400,933,29776,9728,type3
7,553,12,28624,25616,32829,16000,32416,1392,26781,5408,type3
7,553,16,27456,20304,29763,16821,32400,14339,9843,4592,type4
7,553,19,30336,37168,47776,28341,32400,1901,35765,14240,type5
7,553,20,12912,22496,52216,35195,32400,4979,47053,19328,type2
7,553,26,32032,24608,32640,13925,32384,2461,24811,9584,type3
7,553,29,17648,18544,36277,19635,32400,14269,22293,2896,type4
7,553,32,31408,25248,41368,24643,32416,3333,33568,9520,type5
7,553,35,24800,20288,25400,6595,32416,6885,9605,816,type4
7,553,37,5248,6848,23053,3683,32400,6141,4501,0,type4
7,553,42,20656,18800,25749,8203,32400,5776,14520,0,type4
7,553,54,6288,3968,40413,24176,32416,1856,44949,19440,type2
7,553,56,17968,23168,51813,33893,32416,6189,56045,28912,type2
7,553,60,19584,26208,29381,10309,32384,2587,33392,10768,type3
7,553,61,16512,26832,35387,19203,32400,2419,28856,11344,type3
7,553,62,6448,9952,36589,18269,32400,1861,44085,15968,type5
7,553,71,12944,10384,45715,27720,32416,3243,46816,15712,type2
7,553,73,13504,23104,32512,15091,32384,2187,19352,0,type3
7,553,82,6208,2640,34880,17064,32400,6061,39896,13200,type5
7,553,87,14144,13936,38701,20835,32400,1373,44064,18400,type2
7,553,88,9392,4880,39720,23037,32416,947,43968,17184,type2
7,553,92,15248,13696,36765,19693,32400,1709,46219,19392,type2
7,553,93,14016,9024,35416,16579,32400,2264,39296,9152,type5
7,553,95,10384,15008,38688,20005,32400,3443,41851,12144,type5
7,553,96,7936,1088,35336,20389,32416,1325,41555,17104,type5
7,553,99,23408,27952,33608,16829,32400,1627,29835,1904,type3
7,553,105,8352,10208,46469,27461,32416,4747,30437,8064,type5
7,553,106,11920,18160,35376,19528,32400,4389,17869,2544,type3
7,553,109,24496,27424,34880,16971,32416,17235,20757,8864,type4
7,553,110,20976,21344,33416,14216,32400,2131,28485,7264,type3
7,553,113,7376,3392,40061,24347,32400,23264,29632,6800,type4
7,553,114,28272,24560,32675,16955,32400,2269,33845,12832,type5
7,553,115,22560,33984,50741,33013,32400,2515,41472,14896,type2
7,553,116,32304,25056,32819,19499,32400,1357,26877,5984,type3
7,553,119,14528,14672,44339,25288,32400,1909,42827,19120,type2
7,553,128,18352,25648,37240,20123,32400,2992,27987,1696,type3
7,553,132,3536,9120,16016,440,32400,1357,15371,0,type3
7,553,134,24464,24096,32072,14672,32400,10115,15325,2176,type4
7,553,136,16112,19952,37787,21635,32416,21291,23792,0,type4
7,553,137,29440,25408,32795,15275,32400,3357,31008,8496,type3
7,553,140,5424,10640,19171,9416,32400,1701,18968,0,type3
7,553,141,5616,14944,37544,19629,32416,2277,38688,15232,type5
7,553,144,28400,25104,31459,15581,32400,5147,12187,3744,type4
7,553,146,31344,37680,44899,25525,32384,2203,43085,13392,type2
7,553,152,15376,25552,34779,18336,32416,2384,29461,9680,type3
7,553,153,18096,25104,31525,15915,32416,12304,18480,0,type4
7,553,155,14144,23232,33635,14693,32400,875,34667,9152,type5
7,553,156,18752,22736,35363,16357,32400,1029,31816,12208,type5
7,554,163,24304,32544,37227,18541,32416,1832,30691,10880,type3
7,554,164,19536,14768,25888,8144,32400,6387,13059,0,type4
7,554,166,29296,30416,42261,22024,32400,2581,28200,13472,type5
7,554,169,9600,12864,24899,5907,32400,3405,30448,1952,type3
7,554,171,27296,20304,28995,10939,32400,1840,26643,8720,type3
7,554,173,6768,2752,11653,59,32400,5181,7571,0,type4
7,554,177,4112,11248,19067,0,32384,168,35237,20512,type5
7,554,181,18896,24736,32773,17675,32432,20715,19376,2752,type4
7,554,182,24768,29360,35717,18328,32400,3373,30589,6704,type3
7,554,188,17328,14896,23515,3136,32400,14368,18587,3952,type4
7,554,192,14864,13168,36387,17083,32400,3653,37219,11696,type5
7,554,194,6720,352,11891,221,32400,1915,13523,0,type3
7,554,197,11952,22592,44525,26675,32400,2184,39573,17168,type2
7,554,200,17120,15440,26032,8371,32400,3000,19597,5584,type3
7,554,202,6464,9520,36341,20997,32416,15653,24312,0,type4
7,554,203,18016,19552,32893,16027,32400,18819,25883,8512,type4
7,554,204,18416,13440,42083,23645,32400,736,40080,15520,type5
7,554,205,37584,31632,41832,18091,32416,2824,16584,0,type3
7,554,210,5840,13232,21221,2187,32400,2480,19640,1024,type3
7,554,212,18336,23408,32955,15797,32400,12229,22208,0,type4
7,554,214,5088,14864,38011,21448,32400,1912,32573,10112,type5
7,554,217,9392,6352,44459,26813,32400,2200,40461,10608,type5
7,554,218,24720,25440,33152,17507,32400,1576,22691,8896,type3
7,554,222,20192,30064,32845,15208,32400,1365,33395,2016,type3
7,554,223,19680,12128,36411,21179,32416,2043,40237,12176,type5
7,554,228,22352,28640,41101,21099,32400,2725,32413,4592,type3
7,554,229,19056,12160,36184,18403,32400,15741,16669,0,type4
7,554,233,25664,35328,37888,19075,32400,2717,28181,6080,type3
7,554,235,22048,24208,36824,19243,32400,1491,27875,5552,type3
7,554,236,29312,24832,34749,15440,32400,1280,25515,4416,type3
7,554,238,4112,3184,13459,80,32400,5061,13683,0,type4
7,554,243,27264,28192,36909,21285,32400,2976,24461,2128,type3
7,554,245,14928,21840,27211,13035,32400,18885,18704,1920,type4
7,554,250,26960,35216,40909,20523,32416,2349,42981,16016,type2
7,554,256,6032,6000,17869,3136,32432,6907,21064,0,type4
7,554,257,4752,6400,39747,21840,32400,1864,44304,14464,type2
7,554,258,8128,5584,33760,17184,32416,17347,22400,0,type4
7,554,261,10896,12784,40344,24123,32400,1792,37768,13872,type5
7,554,263,5200,8016,14981,1613,32400,1131,18581,0,type3
7,554,265,19184,14560,19195,1829,32432,4240,15931,0,type3
7,554,267,27200,24448,34643,14331,32400,2405,39907,18752,type5
7,554,275,6464,14720,45309,28451,32416,1704,44408,17408,type2
7,554,277,3984,11760,34056,13976,32416,9363,13984,0,type4
7,554,280,24912,23696,35397,18101,32416,7483,11984,0,type4
7,554,282,3248,6000,34549,21712,32400,1987,21699,192,type3
7,554,288,4464,1728,33963,13637,32416,1960,41080,13376,type5
7,554,289,22960,16432,37448,18680,32416,2144,34576,5888,type3
7,554,293,18240,18320,46435,26795,32400,1547,35931,11120,type5
7,554,294,31840,41632,47101,28861,32400,2763,31205,5392,type5
7,554,298,31104,25744,36483,17973,32400,1800,23637,0,type3
7,554,300,7408,14944,31984,17037,32400,11640,18701,0,type4
7,554,312,13088,15024,18776,1853,32384,6467,7384,0,type4
7,554,313,25760,24800,32653,13493,32384,1080,27805,9904,type3
7,554,316,5856,6288,41848,24373,32432,37723,39523,15088,type4
7,554,317,14336,15712,39448,24064,32400,3021,37683,7056,type5
7,554,319,17696,23792,36397,19416,32400,10848,20272,0,type4
7,554,322,5728,6224,40296,23256,32416,1480,43965,11280,type5
7,554,325,20960,27072,37533,17971,32416,2373,35725,16160,type5
7,554,326,32080,28400,36917,17915,32400,1571,29832,6640,type3
